Date,Open,High,Low,Close,Adj Close,Volume
2019-08-28,11900.000000,11950.000000,11775.000000,11825.000000,11825.000000,8964800
2019-08-29,11825.000000,12050.000000,11825.000000,12000.000000,12000.000000,12311400
2019-08-30,12100.000000,12100.000000,11950.000000,12050.000000,12050.000000,7502900
2019-09-02,12100.000000,12100.000000,11950.000000,11975.000000,11975.000000,2153200
2019-09-03,11975.000000,12025.000000,11850.000000,12000.000000,12000.000000,2459000
2019-09-04,12100.000000,12100.000000,11975.000000,12000.000000,12000.000000,5760400
2019-09-05,11775.000000,12000.000000,11700.000000,12000.000000,12000.000000,4230700
2019-09-06,12000.000000,12000.000000,11775.000000,11900.000000,11900.000000,2320000
2019-09-09,11900.000000,11950.000000,11800.000000,11850.000000,11850.000000,2642700
2019-09-10,11850.000000,12025.000000,11825.000000,12025.000000,12025.000000,4550900
2019-09-11,12025.000000,12050.000000,11850.000000,11950.000000,11950.000000,5861100
2019-09-12,12000.000000,12025.000000,11850.000000,11925.000000,11925.000000,2164800
2019-09-13,11800.000000,11825.000000,11550.000000,11600.000000,11600.000000,4968500
2019-09-16,11500.000000,11875.000000,11475.000000,11825.000000,11825.000000,6073500
2019-09-17,11900.000000,12000.000000,11875.000000,11950.000000,11950.000000,5113400
2019-09-18,11950.000000,12000.000000,11850.000000,11875.000000,11875.000000,2632200
2019-09-19,11975.000000,11975.000000,11850.000000,11900.000000,11900.000000,2160600
2019-09-20,11925.000000,11950.000000,11775.000000,11950.000000,11950.000000,8730600
2019-09-23,11950.000000,11975.000000,11850.000000,11875.000000,11875.000000,2435100
2019-09-24,11950.000000,11975.000000,11725.000000,11800.000000,11800.000000,2092300
2019-09-25,11800.000000,11850.000000,11600.000000,11800.000000,11800.000000,4008700
2019-09-26,11900.000000,12050.000000,11875.000000,12000.000000,12000.000000,4714500
2019-09-27,12000.000000,12000.000000,11875.000000,11950.000000,11950.000000,2938500
2019-09-30,11950.000000,12025.000000,11900.000000,12025.000000,12025.000000,3417900
2019-10-01,11950.000000,11975.000000,11875.000000,11925.000000,11925.000000,2714500
2019-10-02,11975.000000,12550.000000,11975.000000,12200.000000,12200.000000,3768000
2019-10-03,12275.000000,12400.000000,11700.000000,12200.000000,12200.000000,6457500
2019-10-04,12275.000000,12325.000000,12150.000000,12225.000000,12225.000000,1296900
2019-10-07,12225.000000,12350.000000,12150.000000,12275.000000,12275.000000,1419100
2019-10-08,12400.000000,12400.000000,12275.000000,12400.000000,12400.000000,2937900
2019-10-09,12500.000000,12500.000000,11975.000000,12000.000000,12000.000000,3141600
2019-10-10,11875.000000,11875.000000,11350.000000,11450.000000,11450.000000,9475400
2019-10-11,11550.000000,11675.000000,11525.000000,11625.000000,11625.000000,6715800
2019-10-14,11650.000000,11750.000000,11550.000000,11600.000000,11600.000000,6405900
2019-10-15,11550.000000,11625.000000,11325.000000,11375.000000,11375.000000,3905000
